Timestamp,market-cap
12/4/2010 17:26,1241968
12/6/2010 15:17,1103920
12/8/2010 14:59,1109129
12/10/2010 19:33,1114293
12/13/2010 13:33,1119514
12/16/2010 5:08,1222675
12/18/2010 22:29,1228288
12/21/2010 11:49,1332707
12/24/2010 9:30,1239713
12/27/2010 7:25,1344924
12/29/2010 23:54,1451146
1/1/2011 15:48,1507935
1/4/2011 9:21,1514700
1/7/2011 10:00,1521435
1/10/2011 2:39,1630048
1/12/2011 20:32,1688478
1/15/2011 7:56,2261204
1/17/2011 23:22,2064660
1/20/2011 17:55,1814540
1/23/2011 8:08,2239032
1/26/2011 0:12,2248664
1/28/2011 15:48,2258339
1/31/2011 13:35,2531688
2/3/2011 7:13,4343540
2/5/2011 19:14,4734355
2/8/2011 3:40,4807755
2/10/2011 16:15,5203517
2/13/2011 0:05,5871558
2/15/2011 5:56,5841936
2/17/2011 4:12,5703285
2/19/2011 10:04,5672368
2/21/2011 18:48,5148098
2/23/2011 18:20,4894288
2/25/2011 19:49,5300736
2/27/2011 9:37,5433071
3/2/2011 7:11,5399311
3/4/2011 16:00,5253425
3/6/2011 9:18,5162258
3/8/2011 7:53,5126531
3/11/2011 10:31,5033929
3/15/2011 2:29,5110740
3/18/2011 13:42,4959783
3/21/2011 23:15,4521526
3/25/2011 3:39,5171400
3/28/2011 3:35,5134010
3/30/2011 21:28,4632760
4/2/2011 8:40,4651080
4/4/2011 22:47,4669720
4/7/2011 16:05,4394775
4/10/2011 11:17,4529179
4/13/2011 3:27,5432232
4/15/2011 22:15,5808509
4/18/2011 15:04,6604001
4/21/2011 14:07,7166220
4/24/2011 5:44,9890348
4/26/2011 16:24,10288386
4/29/2011 5:05,16063474
5/1/2011 12:59,25093989
5/3/2011 19:42,21232113
5/6/2011 0:49,21493648
5/8/2011 2:18,22982063
5/10/2011 2:51,26080876
5/12/2011 14:05,37288544
5/14/2011 15:17,53037332
5/16/2011 15:00,53104282
5/18/2011 7:52,51610176
5/20/2011 7:18,45595004
5/22/2011 7:12,41547155
5/23/2011 23:56,42956799
5/25/2011 11:48,46021281
5/26/2011 23:01,50503568
5/29/2011 15:22,55335434
6/1/2011 11:25,60584325
6/3/2011 18:07,73571481
6/5/2011 20:43,114606738
6/8/2011 1:09,143125137
6/10/2011 5:34,209786346
6/12/2011 2:06,187464960
6/14/2011 0:34,154537656
6/15/2011 17:39,135994463
6/18/2011 1:30,124093838
6/20/2011 3:07,122139161
6/21/2011 23:42,111960265
6/23/2011 19:56,101511916
6/26/2011 5:24,117183885
6/29/2011 0:08,116840234
7/1/2011 12:52,116626752
7/4/2011 3:06,105973485
7/7/2011 1:27,111053022
7/10/2011 0:50,102744626
7/13/2011 2:16,98731644
7/15/2011 19:14,96531300
7/18/2011 14:39,95137160
7/21/2011 11:45,96271835
7/24/2011 10:08,95964467
7/27/2011 2:00,99110193
7/29/2011 18:21,96727905
8/1/2011 11:35,101424312
8/4/2011 12:11,88704361
8/8/2011 1:05,67077244
8/11/2011 4:10,74810925
8/14/2011 17:58,72871667
8/18/2011 0:07,80531287
8/21/2011 6:48,83349213
8/24/2011 3:07,81629123
8/27/2011 10:39,71464393
8/30/2011 20:12,67320450
9/2/2011 22:44,60780870
9/6/2011 1:40,59602717
9/9/2011 10:43,52273985
9/12/2011 18:14,53092692
9/15/2011 23:21,43076288
9/19/2011 6:03,37518145
9/22/2011 11:49,45248415
9/25/2011 21:10,41276652
9/29/2011 4:31,36467393
10/2/2011 17:03,38944246
10/6/2011 3:44,37063750
10/9/2011 19:07,33758986
10/13/2011 23:21,31774062
10/17/2011 11:27,28953018
10/21/2011 3:41,18685334
10/25/2011 4:47,23784372
10/29/2011 2:47,25591449
11/1/2011 18:05,25592177
11/4/2011 22:52,24908976
11/8/2011 5:05,23385111
11/11/2011 11:55,22923750
11/14/2011 20:33,23606814
11/17/2011 20:54,19986070
11/21/2011 10:12,18889378
11/25/2011 0:56,19177964
11/28/2011 17:34,19466807
12/1/2011 19:45,23340300
12/5/2011 3:10,23257857
12/8/2011 8:14,24192383
12/11/2011 8:47,24499020
12/14/2011 14:33,25908092
12/18/2011 4:13,25510863
12/21/2011 8:12,34933154
12/24/2011 14:33,31382750
12/27/2011 12:50,33871863
12/30/2011 22:00,34531272
1/2/2012 23:39,42249854
1/6/2012 1:57,53067960
1/8/2012 18:26,56932193
1/11/2012 23:09,56213685
1/15/2012 4:54,55247147
1/18/2012 9:15,56715587
1/21/2012 12:22,53610215
1/24/2012 17:44,52950157
1/28/2012 0:28,46782750
1/30/2012 22:58,47081606
2/3/2012 0:11,51093498
2/6/2012 1:39,49002504
2/9/2012 8:27,48474336
2/12/2012 9:49,49606868
2/15/2012 16:43,45320681
2/18/2012 17:57,39335945
2/21/2012 22:57,37765800
2/24/2012 20:06,41992098
